"Date","Price","Open","High","Low","Vol.","Change %"
"02/03/2026","86.085","82.840","87.815","80.960","42.38K","11.79%"
"02/02/2026","77.009","84.300","88.000","71.200","167.86K","-1.94%"
"01/30/2026","78.531","115.885","118.450","74.000","317.24K","-31.37%"
"01/29/2026","114.429","116.625","121.785","106.610","193.65K","1.12%"
"01/28/2026","113.162","112.095","117.030","110.495","1.44K","7.17%"
"01/27/2026","105.592","104.760","112.750","102.595","1.72K","-8.30%"
"01/26/2026","115.148","104.970","117.265","101.510","1.95K","13.63%"
"01/23/2026","101.333","96.320","103.530","96.220","139.09K","5.15%"
"01/22/2026","96.372","92.790","96.735","90.680","108.42K","4.03%"
"01/21/2026","92.637","94.550","95.530","90.150","128.65K","-2.11%"
"01/20/2026","94.636","90.605","95.780","90.500","199.93K","0.87%"
"01/19/2026","93.820","93.635","94.740","92.283","79.94K","-7.41%"
"01/18/2026","101.333","90.605","103.530","90.150","436.99K","14.45%"
"01/11/2026","88.537","80.505","93.700","79.900","897.43K","11.72%"
"01/06/2026","79.250","81.285","82.585","78.100","57.33K","-2.21%"
"01/05/2026","81.039","76.530","81.485","75.700","136.39K","5.72%"
"01/04/2026","76.657","73.080","77.835","72.505","131.25K","7.94%"
"01/01/2026","71.015","71.500","74.210","70.515","99.77K","0.58%"
"12/30/2025","70.603","76.065","76.275","69.255","148.60K","-9.39%"
"12/29/2025","77.919","71.685","78.065","70.670","168.12K","10.59%"
